trade_date,stock_code,Inventory_Turnover,TotalAsset_Turnover,CurrentAsset_Turnover,Capital_Fixed_Ratio,total_mv,log_mv,Inventory_Turnover_neutral,TotalAsset_Turnover_neutral,CurrentAsset_Turnover_neutral,Capital_Fixed_Ratio_neutral
2023-06-30,568.0,0.1648,0.2585,0.3742,48.4712,30848447.6749,17.244596988569914,-1.3353907029852867,0.8990952352504329,0.9985382962511978,43.625378720540354
2023-06-30,596.0,0.3905,-0.710147228,-0.704061971,1.4142091982971563,13076506.8,16.386327804105143,-1.4908096883953645,-0.0436053546372267,-0.05141601149402408,-2.1843106551786686
2023-06-30,729.0,1.1094,-0.711647231,-0.702556593,1.4142038231574074,3514718.5582,15.07247001123033,-1.3553352127614042,-0.00538565978501937,-0.006576625191536012,-0.2749189224463928
2023-06-30,858.0,0.6589,-0.709757415,-0.704452831,1.4142102462014248,63491462.1378,17.966416000300267,-0.5207631407940232,-0.09098374461403835,-0.10392176199732761,-4.480612790434165
2023-06-30,876.0,3.9317,-0.713123571,-0.701072877,1.4141964480168885,5300758.9514,15.4833605666478,1.6494229185915774,-0.019283776936256825,-0.01864501112862227,-0.8720634020899705
2023-06-30,895.0,3.6266,-0.718907502,-0.695240045,1.4141475466986235,8484955.3106,15.953805189765644,1.5532263497058025,-0.03928988509102349,-0.02832850921746921,-1.5557978648643869
2023-06-30,998.0,0.5912,-0.708417817,-0.705794934,1.4142127516142582,2021549.4074,14.51937480872397,-2.1191400722040283,0.014564570155790268,0.00842736736043359,0.5288896148956506
2023-06-30,2299.0,2.5756,-0.714682054,-0.69950436,1.4141864136425952,2381569.9757,14.68327048182728,-0.06196132891827366,0.0033455453163061533,0.009312290537705992,0.29067773971188027
2023-06-30,2304.0,0.3044,-0.710871906,-0.703334961,1.4142068677600856,19794287.38,16.800903937874352,-1.3928149564193044,-0.05686322980616754,-0.06436266215973374,-2.786806250287118
2023-06-30,2311.0,3.8758,-0.717384491,-0.696779033,1.4141635236805985,7793004.8595,15.86873707639794,1.764651402586308,-0.03519514998347817,-0.027061758003572134,-1.4321544979797214
2023-06-30,2385.0,3.2399,-0.712435826,-0.701764316,1.4142001412898575,2731018.523,14.820185182930095,0.663136370587353,0.0014526567476628172,0.0025365773328566155,0.09171671093679046
2023-06-30,2507.0,1.1569,-0.709079242,-0.705132485,1.4142117266172791,2112825.7403,14.56353682291811,-1.5338296954737578,0.012568067744940459,0.00763325302449136,0.4647090244712837
2023-06-30,2557.0,2.3196,-0.710080344,-0.704129045,1.414209388320071,2106594.6105,14.560583272993382,-0.3724412349896178,0.011656255553348815,0.008734107796207313,0.46899900739393297
2023-06-30,2568.0,0.9274,-0.709908927,-0.704300929,1.4142098559935647,3817331.4364,15.155062159605608,-1.500659731034475,-0.006144228122513806,-0.011045037467388719,-0.394942020689659
2023-06-30,2714.0,1.2712,-0.710643337,-0.703564319,1.414207656546401,23055120.4787,16.95339844931738,-0.3582989594643211,-0.06124477611049117,-0.06962163482639927,-3.0084219718223415
2023-06-30,300146.0,1.9575,-0.713956001,-0.700235375,1.414191376064202,4077721.6957,15.221048982495912,-0.4412579321984018,-0.012186173014663626,-0.00915587846728183,-0.4908575219463607
2023-06-30,300498.0,2.1727,-0.7118331,-0.702369908,1.414203008528601,12026850.2305,16.30265222744229,0.25423372779784703,-0.042761600797442734,-0.046964138297298286,-2.0627131942735963
2023-06-30,300765.0,3.0597,-0.710916779,-0.703289928,1.414206707090005,1509086.6365,14.227015149289453,0.21953606973912665,0.02090403602818902,0.020575057658501317,0.9537626487694257
2023-06-30,300957.0,0.8771,-0.710734021,-0.703473329,1.4142073495256542,3764956.8,15.141246945046717,-1.557094450364041,-0.006551669503624402,-0.009761780374481055,-0.37486721676185275
2023-06-30,300999.0,2.3707,-0.710730034,-0.703477329,1.4142073631867198,21680944.5525,16.891944301506406,0.7139120001193375,-0.05947363111567683,-0.06750774772543067,-2.9191124686931174
2023-06-30,301498.0,2.0929,-0.722261892,-0.691842615,1.414104506692751,,,,,,
2023-06-30,600132.0,2.2482,-0.711809163,-0.702393952,1.414203115278787,4460278.5608,15.310721779624329,-0.11073825082212219,-0.012750264939362377,-0.01427206758964672,-0.6211650459125737
2023-06-30,600298.0,1.6091,-0.712915499,-0.701282114,1.4141976128248572,3146043.8549,14.961656302395127,-0.9048426281565376,-0.0033038795098662144,-0.0016472588782088238,-0.11388230431609969
2023-06-30,600299.0,2.2369,-0.714881657,-0.699303304,1.414184961,2137475.3146,14.575135931001219,-0.44867904998360997,0.0064149960217283475,0.013079869146693568,0.4478255613119335
2023-06-30,600519.0,0.1432,-0.710088757,-0.704120608,1.414209365,212423047.98,19.174090353591932,-0.5001889361931424,-0.12782471549224927,-0.14342137676245892,-6.235697007086065
2023-06-30,600598.0,11.2288,-0.711965888,-0.702236518,1.414202406465889,2369647.3187,14.678251691362801,8.589010050545848,0.006213436139124506,0.0067456636239741075,0.29798741686681307
2023-06-30,600600.0,4.0165,-0.710790238,-0.703416917,1.4142071552790243,14137544.4028,16.46434454018319,2.169834057223458,-0.046606916073493654,-0.053344126300628125,-2.2976924954936546
2023-06-30,600737.0,1.4176,-0.711231259,-0.702974269,1.414205527510492,1721772.8235,14.35886502930863,-1.3640152914318027,0.016603555850230434,0.01654200873408329,0.7621472922621058
2023-06-30,600809.0,0.4576,-0.711165282,-0.703040501,1.414205782754499,22577877.8566,16.932481128947558,-1.181187406563602,-0.06113436222852309,-0.06840791618457387,-2.9780252201045676
