trade_date,stock_code,PEG,PB,PE,PS,total_mv,log_mv,PEG_neutral,PB_neutral,PE_neutral,PS_neutral
2023-06-06,568,0.83554992,8.11375647,29.67866363,11.64308555,30763072.3843,17.241825580068284,1.3172819933968984,8.143206472086767,26.087769641043515,11.347161568658008
2023-06-06,596,0.61315835,-0.729605868,1.4139723474192876,-0.68436648,12945414.0,16.376252152116404,1.2924933083026198,-0.5186820144848893,-1.2687089983834754,-0.6631589527824668
2023-06-06,729,0.63571002,-0.706819447,1.414213523458778,-0.707394076,3401976.9846,15.039867286659328,1.6201300193066084,-0.21571265268125073,0.13374901072043355,-0.19655766842122457
2023-06-06,858,1.61358327,-0.891432576,1.396511203817498,-0.505078628,64287191.7788,17.978870974634994,1.9270542905853802,-1.0165095754479658,-2.967735945375926,-1.0710436137301103
2023-06-06,876,1.78445799,0.7591363417937197,-1.41290452,0.6537681784715523,5205454.2099,15.465217520373768,2.6717742306154757,1.1610653233176005,-3.1396725438592044,1.0087634327432207
2023-06-06,895,-1.6498469,-0.505536772,1.3965884894561988,-0.891051718,8426056.07,15.946839375901996,-0.8724807398892085,-0.2045833636999682,-0.8355266768688991,-0.7125145904066345
2023-06-06,998,0.76860681,0.7537030186114624,-1.413166529,0.6594635102717992,1906972.9915,14.461027721661077,1.885170847290624,1.3661677957739031,-2.08627712546466,1.382376973977626
2023-06-06,2299,0.57351644,-0.687227441,1.4140289825549468,-0.726801542,2349235.3442,14.669600447724202,1.642465138081048,-0.11849147375625779,0.5220711101569284,-0.08030560813596166
2023-06-06,2304,2.98405449,-0.860211165,1.4022308643780337,-0.542019699,20336803.06,16.827942761206817,3.560272411019851,-0.7439875781966451,-1.7543919273173179,-0.6863039944715724
2023-06-06,2311,-3.8666064,-0.545431187,1.4027061311351057,-0.857274944,7638276.1123,15.848682495930916,-3.066831877953324,-0.22389846505965616,-0.7264168261833026,-0.642774790722745
2023-06-06,2385,0.00307611,-0.703201283,1.4142063852673692,-0.711005103,2681363.6407,14.801836044238165,1.0418365715726592,-0.16218948359733354,0.38349882768882093,-0.11295806192021751
2023-06-06,2507,-3.1677321,-0.991524851,1.369065839378905,-0.377540989,2103683.1521,14.559200248391091,-2.073579996664231,-0.3996426679362518,0.5929466163699662,0.30940371631330243
2023-06-06,2557,-1.42064415,-0.659962357,1.4131881141747014,-0.753225757,2024460.2318,14.520813670793894,-0.31772872488249404,-0.06003214490167352,0.67734643894547,-0.05221685693589251
2023-06-06,2568,0.78983667,-0.766022111,1.4125291923732377,-0.646507082,3533788.2486,15.07788101173044,1.7655784665135323,-0.28288517443452765,0.0921783515568173,-0.14959826229357243
2023-06-06,2714,0.39071581,-0.592806786,1.4083544197327185,-0.815547634,22010392.5148,16.907025286819323,0.9488798782766604,-0.49316343380197514,-1.8312466003767782,-0.988806433353392
2023-06-06,300146,0.82849374,-0.756708906,1.4130252816684643,-0.656316376,3763135.1595,15.140762986948078,1.789880128514263,-0.28675563919570324,0.026694821937134794,-0.18244645168706664
2023-06-06,300498,0.07539406,-0.596840303,1.408751741388636,-0.811911439,10637371.0037,16.17988392522855,0.7995581765043418,-0.3447464028074916,-1.0678880363460928,-0.7187579046442172
2023-06-06,300765,4.89286807,-0.841960141,1.4050163201633232,-0.563056179,1490354.762,14.214524744883468,6.0657065928237115,-0.17781419717994418,0.9905517413036513,0.2501718188232519
2023-06-06,300957,-1.8111701,-0.737598166,1.4137687998640738,-0.676170634,3839086.8,15.160745083782032,-0.8543454503900811,-0.2718342931338381,0.006471900550303111,-0.20962181302561245
2023-06-06,300999,-14.02343839,-0.683052718,1.4139438328891578,-0.730891115,21670101.3694,16.89144405136962,-13.461717261194643,-0.5801426449025598,-1.8093084008847193,-0.898441212417986
2023-06-06,600132,5.98501251,-0.098675611,1.2710977422589944,-1.172422131,4620956.9985,15.346112384139337,6.89951941724985,0.3282246405506233,-0.3306978793759261,-0.7737887631825069
2023-06-06,600298,-6.74071315,-0.662017794,1.4132747286409824,-0.751256934,3149519.1864,14.962760359913167,-5.738690309987771,-0.15474496394521964,0.2137155250123406,-0.21216984865115973
2023-06-06,600299,-4.21740573,-0.706733942,1.4142134968550528,-0.707479555,2107974.4006,14.561238044641758,-3.123718837823653,-0.11527899794578322,0.6359560932374442,-0.02128146387128471
2023-06-06,600519,1.4622952,-0.985797897,1.37105148649271,-0.38525359,209406917.0622,19.159789888625916,1.5061727040694015,-1.3584632542070527,-4.232288099680585,-1.3838873529666942
2023-06-06,600598,2.43318314,-0.824856258,1.4072693802810827,-0.582413122,2346537.4799,14.668451386771766,3.5023941587020393,-0.2558793816550414,0.5165171729959896,0.06450380842135606
2023-06-06,600600,2.11797521,-0.673968387,1.4137037298566817,-0.739735343,13574116.2605,16.42367532114949,2.7864838712956947,-0.47298715054481333,-1.3187369088072032,-0.7359028652588839
2023-06-06,600737,0.0456371999999999,-0.655449664,1.4129848485086065,-0.757535185,1691828.9483,14.34132071965258,1.189529304646232,-0.01788743121345937,0.865478168693046,0.009236905722509015
2023-06-06,600809,0.85117022,-0.670196202,1.4135821241299529,-0.743385922,25704646.1575,17.06218231786445,1.3739132876338027,-0.6030826654024509,-1.9888191538419124,-0.9734916412448539
2023-06-06,600872,0.04286572,0.7768962218940172,-1.411836696,0.6349404737582838,2811645.901,14.849280599730367,1.0707950022231354,1.307960920407914,-2.4923259864221556,1.2156046297236511
