trade_date,stock_code,NetProfit_Growth,NetAsset_Growth,Revenue_Growth,ROE,ROA,total_mv,log_mv,NetProfit_Growth_neutral,NetAsset_Growth_neutral,Revenue_Growth_neutral,ROE_neutral,ROA_neutral
2023-06-30,300146,48.1527,15.5615,32.5783,18.9369,16.3432,4077721.6957,15.221048982495912,56.68170967754374,15.720739147053752,31.733293901579092,17.537638310365267,16.06492209057744
2023-06-30,300498,,-1.079353326,0.5052862498621061,1.3858751325433336,-0.811808057,12026850.2305,16.30265222744229,,-0.710561979985384,0.11686451877380766,-0.06649973944240539,-0.9013616171068018
2023-06-30,300765,32.4638,1.6898019459091065,-0.219831035,-0.646001016,-0.823969894,1509086.6365,14.227015149289453,50.86284091519986,1.6564547850323226,-1.4844552428916082,-1.996449704663405,-1.275692538584236
2023-06-30,300957,11.8032,1.0549974250048402,0.9264771469549568,-0.809767966,-1.171706606,3764956.8,15.141246945046717,21.124585727674198,1.1987755492601029,0.047783684012137395,-2.205110898745992,-1.4639088334772972
2023-06-30,300999,-63.368,-0.758054679,-0.932020182,1.5962081718979213,0.093866689,21680944.5525,16.891944301506406,-71.42976263076824,-0.2750925864317664,-1.0716801327702083,0.11489553781317885,0.10713619618179143
2023-06-30,300999,-63.368,-0.758054679,-0.932020182,1.5962081718979213,0.093866689,21680944.5525,16.891944301506406,-71.42976263076824,-0.2750925864317664,-1.0716801327702083,0.11489553781317885,0.10713619618179143
2023-06-30,301498,52.5596,0.9598399173572676,1.0278596063098795,-0.840981739,-1.146717784,,,,,,,
2023-06-30,600132,17.8606,-0.732062106,-0.831576506,1.662183643494337,-0.098545032,4460278.5608,15.310721779624329,25.499224180331364,-0.555449553390163,-1.638728430503506,0.2585184836887604,-0.3611763164993652
2023-06-30,600298,2.4683,-0.797487885,-0.934926306,1.5695194055606412,0.1628947854314767,3146043.8549,14.961656302395127,13.572889874000026,-0.6885040480735454,-1.889431560685361,0.18299544649677824,-0.16064344934422672
2023-06-30,600299,-96.224,-0.602314299,-1.283644774,1.267827782,0.6181312912884832,2137475.3146,14.575135931001219,-81.28154464073539,-0.568215771587182,-2.4013144423080304,-0.0997157172102685,0.22715076107826848
2023-06-30,600519,20.0178,-1.704879958,0.4377003711636585,0.8559978219858233,0.4111817645913236,212423047.98,19.174090353591932,-10.704009070353912,-0.779769854320645,1.2614179030522905,-0.7373818200173823,0.8226532286697172
2023-06-30,600598,2.5876,-1.20419909,-0.639468499,1.391636679036612,0.452030909922138,2369647.3187,14.678251691362801,16.506191038087046,-1.1501226876757933,-1.7136092259640647,0.01902957983352116,0.07904261010635394
2023-06-30,600600,19.7009,-0.975550723,-0.72902755,1.5816813748322562,0.1228968977972833,14137544.4028,16.46434454018319,15.884891246502303,-0.5754327515816269,-1.04919303032325,0.12136644411288366,0.061556341538208104
2023-06-30,600737,20.6024,-1.119376534,-0.606455852,1.5299839420916104,0.1958484433755053,1721772.8235,14.35886502930863,37.69226773517572,-1.1271788082283398,-1.815421393617525,0.17306063646201486,-0.2328682765036755
2023-06-30,600809,34.3691,0.7296250500086836,-0.798347652,1.2234632551591498,-1.154740653,22577877.8566,16.932481128947558,25.90483622716394,1.2204408369596587,-0.9208955223494378,-0.25983997937716574,-1.1343980472324737
2023-06-30,600872,-525.5423,-1.564809112,1.045602455848202,-0.142453989,0.6616606446949076,2889398.1201,14.876558775457701,-513.592753726065,-1.4723122576886476,0.05517441646352106,-1.5247991509985204,0.32327410442947535
2023-06-30,600873,-46.7687,-0.615000914,-1.197243005,1.4287446974671918,0.3834992212099815,2628479.5091,14.781916103548328,-33.8794209956935,-0.5408403397495715,-2.2276231845787047,0.05104705618830274,0.028598883711547618
2023-06-30,600887,2.8507,-0.78229354,-0.826408221,1.6443227823420024,-0.035621021,18029787.2638,16.707535796097133,-3.3800206198460963,-0.33505915812064746,-1.0439137599435493,0.1720657077895027,-0.05452816949510733
2023-06-30,601118,,-0.589374128,1.713691500125045,-0.35739687,-0.766920503,1917183.6531,14.466367819786447,,-0.5763485744233556,0.5501068260355539,-1.719599205015434,-1.1768795182611997
2023-06-30,603156,31.4012,-1.647177516,0.2151714139696628,1.044017344895682,0.3879887574511994,3125769.192,14.955190952304804,42.56998608666619,-1.53944629026421,-0.7420631019252655,-0.34218912684562075,0.06332241124036858
2023-06-30,603288,-8.5646,-0.324494153,-1.476046835,1.1182330596171444,0.6823079286317888,26051413.5486,17.075582587593583,-18.449756925370295,0.19404642626635732,-1.5381863353990424,-0.3720973116287485,0.727619699197305
2023-06-30,603345,63.2156,-0.847194545,1.67329317,-0.147406789,-0.678691836,4305559.3258,15.275417612096705,71.20476882446391,-0.6774218996967123,0.8512380625871234,-1.5493383032230523,-0.9474831945153377
2023-06-30,603369,26.6987,-0.454520771,1.3435167878319518,0.4480311370761616,-1.337027154,6623760.0,15.706173742506785,30.410774503393352,-0.20129248263622979,0.7032996290355094,-0.9750530770950288,-1.5306577076589825
2023-06-30,603589,14.6386,-1.536606607,1.0673278667169197,0.6759669646128179,-0.206688224,2961000.0,14.901037607083728,26.345089322814065,-1.4393671698430488,0.08723323924019288,-0.7075802542896248,-0.5408035570624058
2023-06-30,603605,71.2064,0.424128320650206,1.3270447526803246,-0.362866425,-1.388306648,4461476.1714,15.310990249368935,78.84235847150222,0.600792887180674,0.5200061590946583,-1.7665447682742537,-1.6508910883556385
